"Year","Variable","R2","p_value"
"2022","Salinity",0.424522932544499,0.005
"2022","Temperature",0.498039852425336,0.002
"2022","Water Depth",0.135000194944529,0.201
"2022","Chlorophyll",0.448990270527838,0.001
"2023","Salinity",0.892665440203731,0.001
"2023","Temperature",0.892261285401047,0.001
"2023","Water Depth",0.269577028780986,0.02
"2023","Chlorophyll",0.805844130784975,0.001
"2024","Salinity",0.821719199013308,0.001
"2024","Temperature",0.16455740836244,0.124
"2024","Water Depth",0.344133352736865,0.008
"2024","Chlorophyll",0.505335314709808,0.001
"2025","Salinity",0.39345339854329,0.005
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
