"Year","Variable","R2","p_value"
"2022","Salinity",0.269041757984362,0.16
"2022","Temperature",0.384317145634155,0.061
"2022","Water Depth",0.307613415224971,0.1
"2022","Chlorophyll",0.323852402436729,0.097
"2023","Salinity",0.887061254739187,0.001
"2023","Temperature",0.878456231936837,0.001
"2023","Water Depth",0.30004030018642,0.012
"2023","Chlorophyll",0.782420914532496,0.001
"2024","Salinity",0.217275243716261,0.067
"2024","Temperature",0.130721251697575,0.204
"2024","Water Depth",0.284496858700527,0.021
"2024","Chlorophyll",0.461516048432215,0.003
"2025","Salinity",0.430690314365953,0.003
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
