"Year","Variable","R2","p_value"
"2022","Salinity",0.968694950165444,0.001
"2022","Temperature",0.986925051324621,0.001
"2022","Water Depth",0.200584130079166,0.082
"2022","Chlorophyll",0.633093091128235,0.001
"2023","Salinity",0.931506024975668,0.001
"2023","Temperature",0.920230943041426,0.001
"2023","Water Depth",0.322587635234508,0.012
"2023","Chlorophyll",0.848786995291396,0.001
"2024","Salinity",0.925853078264136,0.001
"2024","Temperature",0.160285224072905,0.124
"2024","Water Depth",0.306658926163604,0.02
"2024","Chlorophyll",0.485668311413828,0.002
"2025","Salinity",0.362368514059419,0.009
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
