"Year","Variable","R2","p_value"
"2022","Salinity",0.961712123432261,0.001
"2022","Temperature",0.981645878308585,0.001
"2022","Water Depth",0.180587983131488,0.091
"2022","Chlorophyll",0.347207879918109,0.011
"2022","Salinity",0.367340482810217,0.076
"2022","Temperature",0.463733378322287,0.033
"2022","Water Depth",0.24189685451403,0.181
"2022","Chlorophyll",0.0978876190732319,0.542
"2023","Salinity",0.813723330454957,0.001
"2023","Temperature",0.861021409638278,0.001
"2023","Water Depth",0.324019153448194,0.013
"2023","Chlorophyll",0.831326631443407,0.001
"2023","Salinity",0.88169723519072,0.001
"2023","Temperature",0.887262064778236,0.001
"2023","Water Depth",0.295734934967128,0.023
"2023","Chlorophyll",0.815046161249599,0.001
"2024","Salinity",0.920278436246982,0.001
"2024","Temperature",0.154965201935956,0.136
"2024","Water Depth",0.292088047095807,0.035
"2024","Chlorophyll",0.38643191412223,0.003
"2024","Salinity",0.231316069928563,0.056
"2024","Temperature",0.184482363197557,0.076
"2024","Water Depth",0.287620140924188,0.028
"2024","Chlorophyll",0.449707848872532,0.001
"2025","Salinity",0.214062016129748,0.075
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
"2025","Salinity",0.395679761608233,0.001
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
