"Year","Variable","R2","p_value"
"2022","Salinity",0.310919649986771,0.107
"2022","Temperature",0.437733567265521,0.042
"2022","Water Depth",0.24345221958033,0.203
"2022","Chlorophyll",0.322087615143855,0.103
"2023","Salinity",0.729559888696086,0.001
"2023","Temperature",0.776282591155954,0.001
"2023","Water Depth",0.141362626810755,0.175
"2023","Chlorophyll",0.689553819922656,0.001
"2024","Salinity",0.580955944060397,0.001
"2024","Temperature",0.1356666208705,0.189
"2024","Water Depth",0.384398619807468,0.003
"2024","Chlorophyll",0.382023914824673,0.006
"2025","Salinity",0.168608375420797,0.126
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
