"Year","Variable","R2","p_value"
"2022","Salinity",0.96364665101244,0.001
"2022","Temperature",0.979747722329367,0.001
"2022","Water Depth",0.19010722008989,0.094
"2022","Chlorophyll",0.644615817992347,0.001
"2023","Salinity",0.927009159452221,0.001
"2023","Temperature",0.923679639119154,0.001
"2023","Water Depth",0.347132298987276,0.009
"2023","Chlorophyll",0.850412791854814,0.001
"2024","Salinity",0.945131915278393,0.001
"2024","Temperature",0.152389034479729,0.148
"2024","Water Depth",0.32000731357126,0.016
"2024","Chlorophyll",0.483079082664763,0.002
"2025","Salinity",0.341028751992858,0.012
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
