"Year","Variable","R2","p_value"
"2022","Salinity",0.141475507336358,0.417
"2022","Temperature",0.21104224646844,0.249
"2022","Water Depth",0.280569208379859,0.134
"2022","Chlorophyll",0.336894099645026,0.094
"2023","Salinity",0.875292208728726,0.001
"2023","Temperature",0.911223674106102,0.001
"2023","Water Depth",0.30048770741251,0.013
"2023","Chlorophyll",0.832787095487449,0.001
"2024","Salinity",0.751051596071096,0.001
"2024","Temperature",0.266470250582463,0.026
"2024","Water Depth",0.247724484077779,0.042
"2024","Chlorophyll",0.411523018493009,0.005
"2025","Salinity",0.395360803288576,0.006
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
